Presentation,Barycenter_Type,Mean,Max,Max_Time,Subject,Region,Relevance,Stimulus,Barycenter_Method
Onset,Original,-3.904080965714836e-16,3.0993307537819774,512,sub-CA113,CS_VIS_abs,Relevant non-target,face,euclidean
Offset,Original,-1.7763568394002505e-17,2.9288294415041802,355,sub-CA113,CS_VIS_abs,Relevant non-target,face,euclidean
Onset,Squared,0.5319447663603264,9.60585112133876,512,sub-CA113,CS_VIS_abs,Relevant non-target,face,euclidean
Offset,Squared,0.47434504417489304,8.578041897421688,355,sub-CA113,CS_VIS_abs,Relevant non-target,face,euclidean
Onset,Original,0.00685785299773434,2.7291377221780095,231,sub-CA113,CS_PFC,Relevant non-target,face,dtw
Offset,Original,0.011121043204487287,2.8590880345561978,359,sub-CA113,CS_PFC,Relevant non-target,face,dtw
Onset,Squared,0.6437681056245541,8.107497380773966,156,sub-CA113,CS_PFC,Relevant non-target,face,dtw
Offset,Squared,0.6128600953145776,8.174384389342421,359,sub-CA113,CS_PFC,Relevant non-target,face,dtw
Onset,Original,0.00629988230312216,3.2100479672387214,231,sub-CA113,CS_PFC_abs,Relevant non-target,face,dtw
Offset,Original,0.0389821539587102,3.4645514806990403,359,sub-CA113,CS_PFC_abs,Relevant non-target,face,dtw
Onset,Squared,0.5335484053247416,10.304407951973447,231,sub-CA113,CS_PFC_abs,Relevant non-target,face,dtw
Offset,Squared,0.6378829543263239,12.003116962413912,359,sub-CA113,CS_PFC_abs,Relevant non-target,face,dtw
Onset,Original,0.006982949384347845,2.4969345158011,58,sub-CA113,CS_VIS,Relevant non-target,face,dtw
Offset,Original,-0.001969328104989774,2.3501464178003695,359,sub-CA113,CS_VIS,Relevant non-target,face,dtw
Onset,Squared,0.4168772407115926,7.106469058865087,192,sub-CA113,CS_VIS,Relevant non-target,face,dtw
Offset,Squared,0.40341858722100804,7.936015071650543,346,sub-CA113,CS_VIS,Relevant non-target,face,dtw
Onset,Original,0.0026406086828485806,3.001481495026977,512,sub-CA113,CS_VIS_abs,Relevant non-target,face,dtw
Offset,Original,0.014202196407917296,2.9920688685168515,359,sub-CA113,CS_VIS_abs,Relevant non-target,face,dtw
Onset,Squared,0.6037073336676811,9.008891164989375,512,sub-CA113,CS_VIS_abs,Relevant non-target,face,dtw
Offset,Squared,0.5958980515061472,8.952476113947712,359,sub-CA113,CS_VIS_abs,Relevant non-target,face,dtw
Onset,Original,-9.937660640001401e-17,2.710308177534711,347,sub-CA113,CS_PFC,Irrelevant,letter,euclidean
Offset,Original,-1.0658141036401502e-16,2.4840283749864756,918,sub-CA113,CS_PFC,Irrelevant,letter,euclidean
Onset,Squared,0.6556074974542091,7.345770417211526,347,sub-CA113,CS_PFC,Irrelevant,letter,euclidean
Offset,Squared,0.5515384304261916,6.17039696773795,918,sub-CA113,CS_PFC,Irrelevant,letter,euclidean
Onset,Original,-2.910314901714696e-16,3.0554708619028332,347,sub-CA113,CS_PFC_abs,Irrelevant,letter,euclidean
Offset,Original,4.4408920985006264e-17,3.0437279622157813,918,sub-CA113,CS_PFC_abs,Irrelevant,letter,euclidean
Onset,Squared,0.5120902274145389,9.335902187937243,347,sub-CA113,CS_PFC_abs,Irrelevant,letter,euclidean
Offset,Squared,0.48679552154416283,9.264279907974233,918,sub-CA113,CS_PFC_abs,Irrelevant,letter,euclidean
Onset,Original,1.419665805714486e-17,1.4139023962648944,326,sub-CA113,CS_VIS,Irrelevant,letter,euclidean
Offset,Original,-8.881784197001253e-18,1.8228155197521647,810,sub-CA113,CS_VIS,Irrelevant,letter,euclidean
Onset,Squared,0.3337556999669607,5.456913052974052,108,sub-CA113,CS_VIS,Irrelevant,letter,euclidean
Offset,Squared,0.3630663157818963,3.3226564190493546,810,sub-CA113,CS_VIS,Irrelevant,letter,euclidean
Onset,Original,-6.920870802858119e-17,2.618737840096773,621,sub-CA113,CS_VIS_abs,Irrelevant,letter,euclidean
Offset,Original,6.750155989720952e-17,2.756404643147795,203,sub-CA113,CS_VIS_abs,Irrelevant,letter,euclidean
Onset,Squared,0.513899623171381,6.857787875154711,621,sub-CA113,CS_VIS_abs,Irrelevant,letter,euclidean
Offset,Squared,0.5478652066291988,7.5977665567667225,203,sub-CA113,CS_VIS_abs,Irrelevant,letter,euclidean
Onset,Original,-0.0017139754964959238,2.864778920664767,375,sub-CA113,CS_PFC,Irrelevant,letter,dtw
Offset,Original,0.005816269223508449,2.633551248719121,269,sub-CA113,CS_PFC,Irrelevant,letter,dtw
